Bouguer	eTh	eU	GT	Kperc	SRTM	SIGLA_UNID	X	Y
-38.958	2.69	1.16	0.0944	0.55	311.68	A3_gamma_az	549625.0	9246750.0
-42.3093	3.79	2.31	0.174	2.46	290.85	A3_gamma_az	554000.0	9248500.0
-39.4165	4.46	1.62	0.0532	0.8	291.39	A3_gamma_az	550500.0	9247500.0
-38.5616	2.02	0.98	0.6503	0.4	301.53	A3_gamma_az	549500.0	9246000.0
-40.8468	4.07	1.69	0.0589	1.25	309.51	A3_gamma_az	553500.0	9247375.0
-40.93	3.33	1.73	0.3085	1.61	291.31	A3_gamma_az	552375.0	9248500.0
-40.6107	4.37	1.5	0.2223	1.14	302.91	A3_gamma_az	552625.0	9247875.0
-37.7983	3.68	0.89	0.1286	1.45	298.15	A3_gamma_az	547875.0	9245250.0
0.0	4.81	2.4	0.3191	2.38	298.69	A3_gamma_az	555125.0	9248500.0
-38.7737	2.85	0.87	0.3172	0.49	298.21	A3_gamma_az	550000.0	9246250.0
-39.0385	2.48	1.47	0.0729	0.6	301.59	A3_gamma_az	549375.0	9246875.0
-40.1324	4.64	1.42	0.0732	1.82	346.24	A3_gamma_az	552750.0	9247125.0
-40.0452	3.53	1.07	0.0641	0.68	307.45	A3_gamma_az	551875.0	9247750.0
-39.1117	2.71	1.24	0.0484	0.43	309.43	A3_gamma_az	549625.0	9247000.0
-37.7465	5.59	1.66	0.1019	2.87	301.73	A3_gamma_az	547000.0	9245250.0
-38.956	2.78	1.46	0.0969	0.67	304.63	A3_gamma_az	549375.0	9246750.0
-42.9609	4.59	1.96	0.1605	2.12	304.35	A3_gamma_az	555000.0	9248250.0
-40.4628	4.86	1.73	0.0803	1.92	312.78	A3_gamma_az	553375.0	9247000.0
-40.4106	3.83	1.25	0.1233	1.2	310.5	A3_gamma_az	552625.0	9247625.0
-39.98	4.68	1.56	0.0477	2.01	360.6	A3_gamma_az	552625.0	9247000.0
-38.2712	4.25	0.88	0.237	1.01	301.6	A3_gamma_az	548625.0	9245750.0
-39.2044	3.91	1.24	0.0516	0.7	303.3	A3_gamma_az	550125.0	9247125.0
-39.3293	3.41	1.23	0.0602	1.17	293.44	A3_gamma_az	549750.0	9247375.0
-39.7849	3.55	2.01	0.057	1.4	308.13	A3_gamma_az	552000.0	9247250.0
-39.5352	3.52	1.44	0.0816	0.43	294.83	A3_gamma_az	551000.0	9247500.0
-42.8519	4.21	2.15	0.1591	2.03	307.46	A3_gamma_az	554875.0	9248250.0
-37.9278	4.06	0.81	0.2124	1.29	297.67	A3_gamma_az	548125.0	9245375.0
-39.0484	3.88	0.62	0.072	0.93	295.39	A3_gamma_az	550875.0	9246500.0
-38.1559	3.57	0.8	0.1414	2.29	305.85	A3_gamma_az	547250.0	9245750.0
-40.1737	3.53	1.32	0.0464	1.08	311.83	A3_gamma_az	552250.0	9247625.0
-42.3147	2.6	1.67	0.1239	1.93	295.28	A3_gamma_az	553750.0	9248750.0
-40.1324	4.64	1.42	0.0732	1.82	346.24	A3_gamma_az	552750.0	9247125.0
-37.5939	3.7	0.87	0.0376	2.03	301.83	A3_gamma_az	547000.0	9245000.0
-40.3037	5.11	1.22	0.0801	1.54	317.74	A3_gamma_az	553000.0	9247125.0
-40.4895	4.36	1.39	0.2891	1.12	314.16	A3_gamma_az	552750.0	9247625.0
-38.3084	3.62	0.88	0.2119	0.81	307.97	A3_gamma_az	548375.0	9245875.0
-42.4159	3.85	2.44	0.18	1.98	296.98	A3_gamma_az	554375.0	9248250.0
-41.2153	3.22	1.46	0.2227	2.54	296.58	A3_gamma_az	552750.0	9248500.0
-40.1535	4.0	1.92	0.0781	1.39	319.67	A3_gamma_az	552500.0	9247375.0
-42.4929	4.79	2.01	0.1968	1.39	311.8	A3_gamma_az	554750.0	9248000.0
-41.4293	5.39	1.62	0.0645	1.21	311.77	A3_gamma_az	554500.0	9247125.0
-41.5206	4.15	1.71	0.2401	1.8	302.02	A3_gamma_az	553500.0	9248125.0
-39.7866	4.75	1.33	0.2979	0.53	307.59	A3_gamma_az	551500.0	9247625.0
-38.6773	2.64	0.78	0.3579	0.8	314.1	A3_gamma_az	549375.0	9246250.0
-38.9357	3.41	0.82	0.1233	0.4	297.11	A3_gamma_az	550375.0	9246500.0
-40.7975	5.07	1.46	0.0896	1.61	317.68	A3_gamma_az	554125.0	9246750.0
-43.0631	4.57	3.71	0.1942	2.35	305.0	A3_gamma_az	554750.0	9248625.0
-40.6447	3.62	1.61	0.2987	0.53	291.59	A3_gamma_az	552000.0	9248500.0
-40.8879	4.88	1.43	0.0873	1.57	316.19	A3_gamma_az	554250.0	9246750.0
-39.3334	3.97	1.5	0.0507	1.17	296.28	A3_gamma_az	549875.0	9247375.0
-45.6212	2.49	0.39	0.0605	0.97	284.75	A3_gamma_cz	548375.0	9273125.0
-45.5669	4.03	0.94	0.2404	2.42	311.42	A3_gamma_cz	540875.0	9276000.0
-41.7115	3.83	1.55	0.1485	0.42	272.95	A3_gamma_cz	553375.0	9275250.0
-45.758	1.42	0.56	0.0353	0.52	267.58	A3_gamma_cz	547500.0	9272625.0
-45.8257	7.2	1.82	0.1251	3.44	308.11	A3_gamma_cz	543250.0	9275625.0
-45.501	11.97	2.77	0.0453	3.58	312.97	A3_gamma_cz	544750.0	9275375.0
-44.1464	2.16	0.83	0.0912	1.86	282.63	A3_gamma_cz	550250.0	9275125.0
-43.7968	5.95	2.1	0.2738	0.64	263.98	A3_gamma_cz	552125.0	9272000.0
-44.4859	2.99	0.56	0.0552	0.92	285.34	A3_gamma_cz	550750.0	9274000.0
-45.4295	6.58	1.31	0.0434	2.02	265.97	A3_gamma_cz	549625.0	9273000.0
-43.6857	2.62	0.92	0.0843	1.26	312.97	A3_gamma_cz	538500.0	9274750.0
-45.5464	7.56	2.09	0.1623	3.01	306.4	A3_gamma_cz	543750.0	9274750.0
-45.493	3.7	0.76	0.041	1.51	286.15	A3_gamma_cz	548125.0	9273500.0
-42.1	1.98	0.94	0.1868	0.76	270.23	A3_gamma_cz	552875.0	9275500.0
-45.9371	2.75	1.07	0.6362	2.77	310.41	A3_gamma_cz	543625.0	9276500.0
-44.8019	5.85	1.56	0.0945	3.05	277.66	A3_gamma_cz	548375.0	9275125.0
-45.7674	1.99	0.57	0.0209	1.06	267.32	A3_gamma_cz	548500.0	9272625.0
-45.3697	5.37	1.14	0.0654	1.94	269.55	A3_gamma_cz	549375.0	9273375.0
-45.4268	9.08	1.98	0.0347	4.16	343.3	A3_gamma_cz	541625.0	9274875.0
-45.2456	4.65	0.83	0.0356	0.97	280.66	A3_gamma_cz	547125.0	9274375.0
-45.0878	5.65	1.54	0.1341	1.5	281.54	A3_gamma_cz	547125.0	9275000.0
-45.3448	6.78	1.59	0.0706	1.89	269.81	A3_gamma_cz	549625.0	9273250.0
-44.9091	4.64	1.16	0.034	1.11	285.15	A3_gamma_cz	549875.0	9274125.0
-44.1125	4.47	1.79	0.1385	0.95	268.47	A3_gamma_cz	551750.0	9272125.0
-45.3454	2.7	0.9	0.014	0.78	295.65	A3_gamma_cz	545500.0	9275000.0
-45.7568	11.79	2.65	0.0416	4.11	326.49	A3_gamma_cz	542500.0	9275250.0
-45.3433	4.33	1.23	0.0621	0.97	280.26	A3_gamma_cz	545250.0	9274250.0
-45.1638	9.78	2.64	0.1263	4.44	294.53	A3_gamma_cz	544000.0	9273625.0
-45.3567	4.27	0.95	0.034	1.05	285.35	A3_gamma_cz	546750.0	9273875.0
-44.5895	6.67	1.86	0.1193	2.81	272.92	A3_gamma_cz	548625.0	9275375.0
-45.7509	5.37	1.76	0.1409	3.3	325.77	A3_gamma_cz	541500.0	9275750.0
